"No.","Time","Source","Destination","Protocol","Length","Info"
"14131","143.482033","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12874912 Win=65792 Len=0"
"14132","143.490040","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12874912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14133","143.502519","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12876312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14134","143.502622","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12877712 Win=65792 Len=0"
"14135","143.526326","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12877712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14136","143.538632","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"14137","143.538763","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12880512 Win=65792 Len=0"
"14138","143.538871","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12880512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14139","143.579225","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12881912 Win=65792 Len=0"
"14140","143.586515","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12881912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14141","143.586515","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12883312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14142","143.586612","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12884712 Win=65792 Len=0"
"14143","143.586694","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12884712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14144","143.587009","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12886112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14145","143.587053","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12887512 Win=65792 Len=0"
"14146","143.591568","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12887512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14147","143.641781","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12888912 Win=65792 Len=0"
"14148","143.726816","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12888912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14149","143.746224","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12890312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14150","143.746334","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12891712 Win=65792 Len=0"
"14151","143.757539","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12891712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14152","143.780564","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12893112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14153","143.780681","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12894512 Win=65792 Len=0"
"14154","143.792596","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12894512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14155","143.792823","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"14156","143.792871","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12897312 Win=65792 Len=0"
"14157","143.793089","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12897312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14158","143.845625","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12898712 Win=65792 Len=0"
"14159","143.917331","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12898712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14160","143.952542","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12900112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14161","143.952646","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12901512 Win=65792 Len=0"
